,Title,Type,Organization,Amount,Date
0,3rd Alstrom Syndrome International Turkish Family Conference,Partnership,Alstrom Syndrome International,5000,2011
0,5th Annual Youth Health Fair,Partnership,Ryan Cameron Foundation,3000,2012
0,"6th Alstrom Syndrome International Family Conference, Medical Clinic, and Scientific Symposium",Partnership,Alstrom Syndrome International,5000,2010
0,7th Annual Galway Gala in New York City,Partnership,Galway University Foundation,25000,2013
0,A 50 State Campaign to Improve Care*,Partnership,Human Rights Campaign Foundatiion,100000,2012
0,A Family Affair,Partnership,Emory University Alzheimer's Disease Research Center,25000,2012
0,A Family Affair,Partnership,Emory University Alzheimer's Disease Research Center,25000,2013
0,A Meal to Remember,Partnership,Senior Citizen Services of Metropolitan Atlanta,2500,2012
0,A Meal to Remember 2013,Partnership,Senior Citizen Services,25000,2013
0,A Walk to Cure Diabetes,Partnership,JDRF Rocky Mountain,2000,2013
0,AACI Resilient Youth Striving For Excellence Program,Partnership,"The Asian Americans for Community Involvement of Santa Clara County, Inc.",25000,2012
0,AIDS Walk,Partnership,AIDS Walk San Diego,5000,2015
0,AIley Arts In Education*,Partnership,"Alvin Ailey Dance Foundation, Inc.",50000,2010
0,APA HEALIN' (Asian Pacific Americans -- Healthy Eating And Active Living  In Our Neighborhoods)*,Partnership,"Asian-American Coalition for Children and Families, Inc.",20000,2012
0,Academic Creative Engagement: Afterschool Enrichment through the National Junior Tennis & Learning Network*,Partnership,USTA Serves,125000,2014
0,Active Healthy Living Program*,Partnership,"Horizons National Student Enrichment Program, Inc.",100000,2013
0,Active Healthy Living Program*,Partnership,"Horizons National Student Enrichment Program, Inc.",100000,2014
0,Active Healthy Living and Sports Diatetics Program*,Partnership,"Purdue University, College of Health and Human Sciences",100000,2013
0,Active Trails,Partnership,National Park Foundation,300000,2014
0,Active Trails,Partnership,National Park Foundation,300000,2015
0,Active Trails*,Partnership,National Park Foundation,300000,2012
0,Active Trails*,Partnership,National Park Foundation,300000,2013
0,Active Trails*,Partnership,National Park Foundation,100000,2010
0,Active Trails*,Partnership,National Park Foundation,250000,2011
0,Active Trails*,Partnership,National Park Foundation,250000,2012
0,"Active, Healthy Living and Learning for C5 Youth",Partnership,The C5 Youth Foundation of Georgia,50000,2012
0,"Active, Healthy Living section of familydoctor.org",Partnership,American Academy of Family Physicians,500000,2010
0,"Active, Healthy Living section of familydoctor.org",Partnership,American Academy of Family Physicians,550000,2011
0,"Active, Healthy Living section of familydoctor.org",Partnership,American Academy of Family Physicians,650000,2012
0,"Active, Healthy Living section of familydoctor.org",Partnership,American Academy of Family Physicians,650000,2013
0,"Active, Healthy Living section of familydoctor.org",Partnership,American Academy of Family Physicians,600000,2014
0,"Active, Healthy Living section of familydoctor.org",Partnership,American Academy of Family Physicians,600000,2015
0,After School Program Cooking Club*,Partnership,East Side House,20000,2012
0,America Is Your Park,Partnership,"City of Prattville, AL",100000,2012
0,America is Your Park,Partnership,Bodiworx Health & Fitness,25000,2012
0,America is Your Park,Partnership,Body by Jake,8310,2011
0,America is Your Park Grant,Partnership,Chicago Park District,10000,2012
0,America is Your Park Grant,Partnership,Cincinnati Parks Foundation,10000,2011
0,America is Your Park Grant,Partnership,City and County of Honolulu,10000,2012
0,America is Your Park Grant,Partnership,"City of Bellevue, WA",10000,2011
0,America is Your Park Grant,Partnership,"City of Joplin, MO",25000,2011
0,America is Your Park Grant,Partnership,"City of Kennesaw, GA",15000,2012
0,America is Your Park Grant,Partnership,"City of Minot, ND",100000,2011
0,America is Your Park Grant,Partnership,"City of Moore, OK",100000,2014
0,America is Your Park Grant,Partnership,"City of Santee, CA",10000,2011
0,America is Your Park Grant,Partnership,"County of Niagara, NY",50000,2012
0,America is Your Park Grant,Partnership,Florida Department of Environmental Protection,25000,2012
0,America is Your Park Grant,Partnership,"Incorporated Village of Lynbrook, NY",25000,2013
0,America is Your Park Grant,Partnership,Iowa Department of Natural Resources,10000,2011
0,America is Your Park Grant,Partnership,National Heritage Trust,10000,2012
0,America is Your Park Grant,Partnership,Orlando Community & Youth Trust,10000,2012
0,America is Your Park Grant,Partnership,Park Pride Atlanta,10000,2011
0,America is Your Park Grant,Partnership,San Antonio Parks Foundation,10000,2013
0,America is Your Park Grant,Partnership,San Antonio Parks Foundation,15000,2014
0,America is Your Park Grant,Partnership,San Jose Parks Foundation,10000,2012
0,America is Your Park Grant,Partnership,Sandy Hook Foundation,10000,2011
0,America is Your Park Grant,Partnership,Seattle Parks and Recreation,10000,2012
0,America is Your Park Grant,Partnership,State of Minnesota,50000,2011
0,America is Your Park Grant,Partnership,Texas Parks and Wildlife,10000,2012
0,American is Your Park Grant,Partnership,"City of Bedford, TX",10000,2013
0,American is Your Park Grant,Partnership,New York State Parks Recreation and Historic Preservation,10000,2013
0,American is Your Park Grant,Partnership,Portland Parks Foundation,10000,2013
0,American is Your Park Grant,Partnership,Virginia Association for Parks,50000,2013
0,American is Your Park Grant,Partnership,Virginia Association for Parks,50000,2013
0,An Evening of Hope,Partnership,JDRF Hawaii,5000,2014
0,An Evening of Hope,Partnership,JDRF Hawaii,2500,2015
0,Annual Conference,Partnership,Columbus Black Nurses Association,500,2012
0,Annual Conference,Partnership,Columbus Black Nurses Association,500,2013
0,Annual Conference,Partnership,Columbus Black Nurses Association,500,2014
0,Annual Conference & Youth Summit,Partnership,National Urban League,110000,2010
0,Annual Dinner,Partnership,Ronald McDonald House Central Oregon,3000,2014
0,Annual Dinner,Partnership,Ronald McDonald House Central Oregon,1500,2015
0,Annual Gala,Partnership,Doernbecher Children's Hospital,1000,2013
0,Annual Gala,Partnership,USO Puget Sound,5000,2012
0,Annual Giving,Partnership,Parks Foundation of Clark County,2500,2012
0,Annual Golf Outing,Partnership,Boys & Girls Clubs of Philadelphia,2000,2014
0,Armory College Prep,Partnership,The Armory Foundation,50000,2012
0,Armory College Prep Program,Partnership,The Armory Foundation,35000,2014
0,Arthur Ashe Kids Day,Partnership,USTA,32000,2013
0,Arthur Ashe Kids Day,Partnership,USTA,38000,2014
0,Arthur Ashe Kids Day,Partnership,USTA,42000,2015
0,Athletic Equipment,Partnership,Boys & Girls Club Of Cincinnati,2500,2014
0,Athletic Programs and Sports Leagues*,Partnership,"Boys & Girls Clubs of Boston, Inc.",25000,2013
0,Atlanta Ballet's AileyCamp*,Partnership,"Atlanta Ballet, Inc.",50000,2014
0,Atlanta Streets Alive,Partnership,Atlanta Bicycle Coalition,30000,2012
0,B'N Fit*,Partnership,Mosholu Montefiore Community Center,20000,2010
0,Beverage Insititute for Health & Wellness educational programs,Partnership,Communications Partners,90393,2012
0,Beverage Insititute for Health & Wellness educational programs,Partnership,Communications Partners,94973,2013
0,Beverage Institute for Health & Wellness educational sessions,Partnership,OnCourse,110000,2015
0,Bicycle Tour,Partnership,Pedal the Plains,10000,2015
0,Big Splash 2010 - General Support,Partnership,Marcus Autism Center,15000,2010
0,Big Splash 2012: The Great Gatsby,Partnership,Children's Healthcare of Atlanta Foundation,10000,2012
0,Bike Share Program,Partnership,The University Of Iowa/Iowa City Bike Share Program,50000,2015
0,Biotechnology Conference,Partnership,Emory University,150000,2013
0,Birmingham Athletic Partnership*,Partnership,Birmingham Athletic Partnership,10000,2011
0,Bolstering Africas Resilience (BAR) Initiative (Golden Triangle Ebola Resilience Program),Partnership,The Global Environment & Technology Foundation,1000000,2015
0,Boston Invitational; Gala,Partnership,American Cancer Society,16250,2013
0,Breakfast of Champions,Partnership,Special Olympics Washington,10000,2013
0,Breakfast of Champions,Partnership,Special Olympics Washington,10000,2014
0,Breastfeeding Class,Partnership,Northeast Colorado Health Department,500,2014
0,Bronx CAN (Changing Attitudes Now) Health Initiative and Challenge*,Partnership,Bronx Overall Economic Development Corporation,75000,2012
0,Bronx CAN Health Initiative Expansion,Partnership,Bronx Overall Economic Development Corporation,100000,2014
0,Bronx Intramural Sports Helps Obesity Prevention (BISHOP) and Bronx Changing Attitudes Now (CAN) Campaign*,Partnership,Bronx Overall Economic Development Corporation,100000,2013
0,Build global capacity for NCD prevention,Partnership,National Foundation for the Center for Disease Control,681075,2010
0,Build global capacity for NCD prevention,Partnership,National Foundation for the Center for Disease Control,187849,2011
0,Build global capacity for NCD prevention,Partnership,National Foundation for the Center for Disease Control,54582,2012
0,Build global capacity for NCD prevention,Partnership,National Foundation for the Center for Disease Control,681075,2010
0,Build global capacity for NCD prevention,Partnership,National Foundation for the Center for Disease Control,187849,2011
0,Build global capacity for NCD prevention,Partnership,National Foundation for the Center for Disease Control,54582,2012
0,C.H.O.I.C.E.S. Fitness Challenge*,Partnership,"Center Helping Obesity In Children End Successfully, Inc.",25000,2012
0,California Governor's Council on Physical Fitness & Sports,Partnership,Don't Quit Foundation,500000,2010
0,Camp Best Friends Summer Programs*,Partnership,Camp Best Friends,75000,2010
0,Camp Oty'Okwa*,Partnership,"Big Brothers Big Sisters of Central Ohio, Inc.",25000,2013
0,"Campaign for UAB, School of Public Health",Partnership,University of Alabama Birmingham Educational Foundation,35000,2013
0,Canstruction and Hunger Walk/Run,Partnership,"Atlanta Community Food Bank, Inc.",10000,2010
0,Carter G. Woodson America SCORES Atlanta Program*,Partnership,America SCORES Atlanta,25000,2011
0,Cascade New Advent Choir Food Distribution Program,Partnership,"Cascade Community Services, Inc.",1000,2012
0,Center for Obesity and its Consequences on Health*,Partnership,Children's Medical Center Foundation,25000,2012
0,Chachersize Academic Burst Curriculum (Chachersize ABC)*,Partnership,"Put Up Your Dukes Foundation, Inc.",25000,2012
0,Chef G Garvin's Culinary Boot Camp,Partnership,One Bite At A Time Foundation Inc,3000,2010
0,Chicago Coca-Cola Blogger Event,Partnership,Xsport Fitness,1152,2013
0,Children participate for better nutrition and a cleaner environment*,Partnership,Save the Children,50000,2011
0,Children's Christmas Parade,Partnership,Children's Healthcare of Atlanta,10000,2010
0,Children's Christmas Parade,Partnership,Children's Healthcare of Atlanta,10000,2011
0,Choose You Sprite Zero Program,Partnership,American Cancer Society,1273500,2010
0,Choose You Sprite Zero Program,Partnership,American Cancer Society,294135,2011
0,Choose You Sprite Zero Program,Partnership,American Cancer Society,264339,2012
0,City Surfers*,Partnership,Concrete Safaris,25000,2012
0,CityParks Youth Tennis Program*,Partnership,City Parks Foundation,50000,2014
0,ClimbCorps Program,Partnership,Brigham & Women's Hospital,600000,2013
0,ClimbCorps Program,Partnership,Brigham & Women's Hospital,635000,2014
0,"Clinical Research Agreement for Web-Based Fortified Beverage Weight Loss & Body Composition Study / Principal Investigator Dr. John Foreyt
In 2008-09, The Coca-Cola Company provided $ 261,000 of funding for this study, for a total of $422,000.",Research,Baylor College of Medicine,161000,2013
0,"Clinical Research Agreement for Web-Based Fortified Beverage Weight Loss & Body Composition Study / Principal Investigator Dr. Susan Jebb
In 2008-09, The Coca-Cola Company provided $ 273,000 of funding for this study, for a total of $350,000. Included in disclosure as part of a US-led research project.",Research,Medical Research Council,77000,2010
0,Coastal Team Challenge,Partnership,"Independent Group Home Living Program, Inc.",500,2014
0,Coca-Cola Troops For Fitness*,Partnership,National Recreation and Park Association,1000000,2013
0,Coca-Cola Troops For Fitness*,Partnership,National Recreation and Park Association,1000000,2014
0,Colorado Campaign to End Childhood Hunger*,Partnership,Hunger Free Colorado,100000,2014
0,Commnity Health Fair,Partnership,Northwest Side Health Advisory Committee,1500,2013
0,Communications activities,Partnership,Quagliani Communications,44090,2014
0,Community Health Fair,Partnership,Family Resource Center,1500,2011
0,Comprehensive Education and Wellness for at Risk Youth*,Partnership,East Oakland Youth Development Center,50000,2014
0,Conference,Partnership,National Association of Hispanic Nurses,25000,2011
0,Conference,Partnership,National Association of Hispanic Nurses,25000,2012
0,Conference,Partnership,National Association of Hispanic Nurses,1000,2013
0,Conference,Partnership,National Association of Hispanic Nurses,20000,2014
0,Conference,Partnership,National Black Nurses Association,10000,2011
0,Conference,Partnership,National Black Nurses Association,10000,2012
0,Conference support,Partnership,Academy of Nutrition & Dietetics,350000,2013
0,Conference support,Partnership,Academy of Nutrition & Dietetics,111000,2014
0,Conference support,Partnership,Academy of Nutrition & Dietetics,111000,2015
0,Conference support,Partnership,Beth Israel/Harvard Obesity Conference,5000,2012
0,Conference support,Partnership,Global Summit on Physical Activity for Children,40831,2014
0,Congreso's Health Promotion and Wellness*,Partnership,Congreso de Latinos Unidos,25000,2013
0,Content production,Partnership,Quagliani Communications,3000,2010
0,Content production,Partnership,Quagliani Communications,101114,2011
0,Content production,Partnership,Quagliani Communications,129742,2012
0,Content production,Partnership,Quagliani Communications,132697,2013
0,Cool Fitness,Partnership,"The Cool Girls, Inc.",15000,2010
0,Cool Fitness,Partnership,"The Cool Girls, Inc.",25000,2011
0,Corporate Affiliate program; Dr. Connie Weaver,Partnership,Purdue University Department of Nutrition  & Health,6000,2015
0,Corporate Membership,Partnership,Preventative Cardiovascular Nurses Association,25000,2010
0,Corporate Membership,Partnership,Preventative Cardiovascular Nurses Association,15000,2014
0,Corporate Membership; educational support,Partnership,Preventative Cardiovascular Nurses Association,47500,2013
0,Corporate membership,Partnership,Preventive Cardiovasular Nurses Association,25000,2011
0,Courage to Change*,Partnership,Boys & Girls Clubs of Greater Redlands-Riverside,25000,2013
0,"Create, manage Beverage Institute for Health & Wellness educational sessions",Partnership,Gannett Health,290000,2014
0,Crystal Ball,Partnership,"Arthritis Foundation, Southeast Region Inc.",5000,2010
0,DKO Heart Truth Contribution,Partnership,Hope Heart Institute,10000,2012
0,DKO Heart Truth Donation,Partnership,National Coalition for Women with Heart Disease,750,2010
0,DKO Heart Truth Event,Partnership,Coach Derek Inc,3082,2011
0,DKO Heart Truth Event,Partnership,Columbus Black Nurses Association,5000,2012
0,DKO Heart Truth Women's Legislative Network,Partnership,National Conference of State Legislatures Foundation,2500,2011
0,Delta Energy Youth Program*,Partnership,Delta Citizens Alliance,25000,2012
0,Diabetes Education and Outreach to the Latino Community*,Partnership,American Diabetes Association,25000,2012
0,Diabetes Health Promotion*,Partnership,Hispanic Health Coalition of Georgia,25000,2013
0,Diabetes Health and Wellness Institute*,Partnership,Baylor Health Care System Foundation,25000,2010
0,Diamond Awards Cares Program,Partnership,M3 Music,15000,2013
0,Diet Coke Heart Truth Sponsorship,Partnership,Chicago Race #4 (Warm Your Heart),10000,2012
0,Dietary Trends project/ Principal Investigator Dr. Steven Blair,Research,University of South Carolina Research Foundation,50000,2011
0,Dining Out for Life 2010,Partnership,"Project Open Hand/Atlanta, Inc.",5000,2010
0,Dining Out for Life 2011,Partnership,"Project Open Hand/Atlanta, Inc.",5000,2011
0,"Distance Learning Center:  ""Movin' and Groovin' with Little Noodle""*",Partnership,"Center For Puppetry Arts, Inc.",50000,2012
0,Donation,Partnership,American Council for Fitness,40000,2010
0,Donation,Partnership,American Council on Science and Health (ACSH),45000,2010
0,Donation,Partnership,American Council on Science and Health (ACSH),20000,2012
0,Donation,Partnership,American Council on Science and Health (ACSH),20000,2013
0,Donation,Partnership,National Foundation for the Center for Disease Control,73925,2010
0,Donation,Partnership,Council for Agricultural Science & Technology,5000,2012
0,Donation,Partnership,Council for Agricultural Science & Technology,500,2014
0,Donation,Partnership,Council for Agricultural Science & Technology,500,2015
0,Donation,Partnership,Council for Agricultural Science & Technology,5000,2011
0,Donation,Partnership,Council for Agricultural Science & Technology,5000,2010
0,Donation,Partnership,Council for Agricultural Science & Technology,500,2013
0,Donation,Partnership,Health Connect South,45000,2013
0,Donation,Partnership,Health Connect South,60000,2014
0,Donation,Partnership,Hispanic Health Coalition of Georgia,10000,2012
0,Donation,Partnership,International Pediatric Association Foundation,20000,2013
0,Donation,Partnership,Michigan State University,95000,2010
0,Donation,Partnership,National Foundation for the Center for Disease Control,73925,2010
0,Donation,Partnership,Society for Nutrition Educators,4950,2014
0,Donation for Feeding Tomorrow scholarships,Partnership,Foundation of Institute of Food Technologists (IFT),3124,2010
0,Donation for Feeding Tomorrow scholarships,Partnership,Foundation of Institute of Food Technologists (IFT),1755,2011
0,Donation for Feeding Tomorrow scholarships,Partnership,Foundation of Institute of Food Technologists (IFT),1755,2012
0,Donation for Feeding Tomorrow scholarships,Partnership,Foundation of Institute of Food Technologists (IFT),1755,2013
0,Drew Expansion Campaign*,Partnership,East Lake Foundation,250000,2013
0,Drew Expansion Campaign*,Partnership,East Lake Foundation,250000,2014
0,Earn A Bike & Bicycle Rodeo Youth Program*,Partnership,Ohio City Bicycle Co-op,30000,2014
0,East Harlem Health and Wellness*,Partnership,"East Harlem Council for Community Improvement, Inc.",25000,2012
0,Eat Wise and Exercise *,Partnership,Portland After-School Tennis & Education at St. Johns Racquet Center,25000,2014
0,Eat Wise and Exercise*,Partnership,Portland After-School Tennis & Education at St. Johns Racquet Center,25000,2012
0,Eat Wise and Exercise*,Partnership,Portland After-School Tennis & Education at St. Johns Racquet Center,25000,2013
0,Edible Schoolyard*,Partnership,Grow Pittsburgh,25000,2014
0,Educating  America's School Children and Parents on the Importance of an Active Lifestyle*,Partnership,"Education for a Better America, Inc.",75000,2012
0,Educational activities,Partnership,University of Colorado Foundation,250000,2011
0,Educational grants for scientific symposia and publications / Principal Investigator Dr. James Rippe,Research,Rippe Lifestyle Institute,76574,2011
0,El Puente Movers and Shakers*,Partnership,"El Puente de Williamsburg, Inc.",20000,2012
0,Empowering Individuals to Make Healthy Choices and Stay Active*,Partnership,Young Men's Christian Association of Metropolitan Atlanta Inc.,100000,2014
0,Encouraging Physical Activity and Healthy Eating among Asian American Children across New York City*,Partnership,Asian American Federation,50000,2012
0,Enhanced Triple Play*,Partnership,Boys & Girls Clubs of Metro Atlanta Inc,107377,2011
0,Enhanced Triple Play*,Partnership,Boys & Girls Clubs of Metro Atlanta Inc,107378,2012
0,Enhanced Triple Play*,Partnership,Boys & Girls Clubs of Metro Atlanta Inc,107378,2013
0,Event,Partnership,"City Of Bedford Heights, Oh",2500,2012
0,Event,Partnership,Sarah Heinz House,5000,2012
0,Event,Partnership,Sarah Heinz House,2849,2013
0,Event,Partnership,West Virginia University Foundation,2500,2015
0,Evidence-Based Nutrition Intervention Program for Pregnant and Breastfeeding Women and Infants*,Partnership,American University of Beirut,90000,2013
0,"Evidence-Based Nutrition Intervention Program for Pregnant and Breastfeeding Women, Infants and Young Children (0-5 years old)",Partnership,American University of Beirut,85000,2011
0,"Evidence-Based Nutrition Intervention Program for Pregnant and Breastfeeding Women, Infants and Young Children*",Partnership,American University of Beirut,140000,2014
0,Expanding Healthcare Equality for LGBT Americans*,Partnership,Human Rights Campaign Foundation,150000,2014
0,FAN4Kids Bronx Expansion*,Partnership,"FAN4Kids, A NJ Nonprofit Corporation",25000,2013
0,FAN4Kids Bronx Expansion*,Partnership,"FAN4Kids, A NJ Nonprofit Corporation",25000,2014
0,FAN4Kids New York City Expansion*,Partnership,"FAN4Kids, A NJ Nonprofit Corporation",20000,2010
0,FAN4Kids New York City Expansion*,Partnership,"FAN4Kids, A NJ Nonprofit Corporation",25000,2011
0,FIFA World Cup Trophy Tour,Partnership,DC United,20000,2014
0,FIt by Five*,Partnership,Butler Street Young Men's Christian Association,10000,2010
0,FTW Mayor Betsy Price,Partnership,Fort Worth Mayor's Bike Rides,500,2013
0,FTW Mayor Betsy Price,Partnership,Fort Worth Mayor's Bike Rides,500,2014
0,FTW Mayor Betsy Price,Partnership,Fort Worth Mayor's Bike Rides,500,2015
0,Fall and Winter Let's Move Events,Partnership,Cincinnati Recreation Commissions,7000,2013
0,Fall and Winter Let's Move Events,Partnership,Cincinnati Recreation Commissions,8000,2014
0,Family Wellness,Partnership,Alivio Medical Center,5000,2010
0,Family Wellness,Partnership,Alivio Medical Center,5000,2011
0,Father of the Year,Partnership,American Diabetes Association,15000,2014
0,Fifth Annual National Conference on Health Disparities,Partnership,Medical University of South Carolina,25000,2011
0,Fit Family Challenge*,Partnership,San Antonio Sports Foundation,25000,2012
0,Fit For Life*,Partnership,Jordan River Foundation,32000,2013
0,Fit-4-Kids*,Partnership,Hollenbeck Police Activities League,25000,2013
0,FitPhx,Partnership,Phoenix Parks and Conservation Foundation,25000,2013
0,FitWorth*,Partnership,Fort Worth Promotion and Development Fund,25000,2013
0,Fitness Initiative,Partnership,Fit Worth,25000,2013
0,Five Pillars of Nutrition Program*,Partnership,Boys & Girls Club of San Gabriel Valley,25000,2012
0,Food & Fun/Move-To-Improve*,Partnership,YMCA of Greater New York,50000,2012
0,Food Forum Membership fee,Partnership,Institute of Medicine Food Forum (IOM Food Forum),15000,2010
0,Food Forum Membership fee,Partnership,Institute of Medicine Food Forum (IOM Food Forum),15000,2011
0,Food Forum Membership fee,Partnership,Institute of Medicine Food Forum (IOM Food Forum),15000,2012
0,Food Forum Membership fee,Partnership,Institute of Medicine Food Forum (IOM Food Forum),15000,2013
0,Food Forum Membership fee,Partnership,Institute of Medicine Food Forum (IOM Food Forum),25000,2014
0,Food Forum Membership fee,Partnership,Institute of Medicine Food Forum (IOM Food Forum),25000,2015
0,"For your Health, Bushwick*",Partnership,Coalition for Hispanic Family Services,20000,2012
0,Founders' Gala,Partnership,Pink Ribbon Story Foundation,3000,2012
0,Fun 'N Fit Van,Partnership,City of Mesa,23000,2013
0,Fundraising Request,Partnership,DC Scores,1000,2011
0,Fundraising Request,Partnership,DC Scores,1000,2012
0,GA DPH Associate Kickball Tournament,Partnership,Georgia Department of Public Health,3287,2014
0,GA DPH Associate Kickball Tournament,Partnership,Georgia Department of Public Health,3287,2015
0,GCAPP's EmPower Party:  A Benefit Event for GCAPP's Nutrition and Physical Actvity Program,Partnership,Georgia Campaign for Adolescent Power & Potential,25000,2013
0,Gala,Partnership,Association for Healthcare Foodservice,1000,2014
0,Games sponsorship,Partnership,Special Olympics Oregon,1900,2015
0,Games sponsorship,Partnership,Special Olympics Washington,10000,2015
0,Gateway Green Project Survey,Partnership,Portland Parks Foundation,27500,2013
0,Gateway Green Project Survey,Partnership,Portland Parks Foundation,2500,2014
0,General sponsorship for nutrition education,Partnership,American Society for Nutrition,12000,2014
0,"General support, Triple Play and Back to School Event",Partnership,Boys & Girls Clubs Of Chicago,17750,2011
0,Georgia Exercise is Medicine Network*,Partnership,"American College of Sports Medicine Foundation, Inc.",80000,2013
0,Georgia State Golf Association State Amateur Championship,Partnership,"Georgia State Golf Association, Inc.",5000,2015
0,Get Moving!*,Partnership,Education Foundation for Clinton City and Anderson County Schools Inc,25000,2013
0,Get The Ball Rolling Clinics,Partnership,Boston Red Sox,4000,2015
0,Get the Ball Rolling Clinic,Partnership,US Olympics,5000,2012
0,Get the Ball Rolling Clinic Dance Clinic,Partnership,Christmas in August- Rockettes,13400,2013
0,Get the Ball Rolling Clinics,Partnership,Baltimore Orioles,11000,2013
0,Get the Ball Rolling Clinics,Partnership,Baltimore Orioles,7250,2015
0,Get the Ball Rolling Clinics,Partnership,Baltimore Ravens,8500,2012
0,Get the Ball Rolling Clinics,Partnership,Baltimore Ravens,8500,2013
0,Get the Ball Rolling Clinics,Partnership,Baltimore Ravens,12000,2014
0,Get the Ball Rolling Clinics,Partnership,Baltimore Ravens,12000,2015
0,Get the Ball Rolling Clinics,Partnership,Boston Bruins,30000,2013
0,Get the Ball Rolling Clinics,Partnership,Boston Red Sox,54000,2011
0,Get the Ball Rolling Clinics,Partnership,Boston Red Sox,4000,2012
0,Get the Ball Rolling Clinics,Partnership,Boston Red Sox,4000,2013
0,Get the Ball Rolling Clinics,Partnership,Boston Red Sox,4000,2014
0,Get the Ball Rolling Clinics,Partnership,Brooklyn Nets,13000,2013
0,Get the Ball Rolling Clinics,Partnership,Brooklyn Nets,5000,2014
0,Get the Ball Rolling Clinics,Partnership,Brooklyn Nets,5000,2015
0,Get the Ball Rolling Clinics,Partnership,New York Knicks,1000,2010
0,Get the Ball Rolling Clinics,Partnership,New York Knicks,1000,2011
0,Get the Ball Rolling Clinics,Partnership,New York Knicks,1000,2012
0,Get the Ball Rolling Clinics,Partnership,New York Knicks,1000,2013
0,Get the Ball Rolling Clinics,Partnership,New York Knicks,1000,2014
0,Get the Ball Rolling Clinics,Partnership,New York Knicks,1000,2015
0,Get the Ball Rolling Clinics,Partnership,Philadelphia Eagles,2500,2013
0,Get the Ball Rolling Clinics,Partnership,Philadelphia Eagles,2500,2014
0,Get the Ball Rolling Clinics,Partnership,Philadelphia Eagles,2500,2015
0,Get the Ball Rolling Clinics,Partnership,Philadelphia Phillies,4500,2011
0,Get the Ball Rolling Clinics,Partnership,Philadelphia Phillies,4500,2012
0,Get the Ball Rolling Clinics,Partnership,Philadelphia Phillies,4500,2013
